Downstream distance,Drainage_Area,DEM_VOURAIKOS,Erosional efficiency
40845.9076,237967225,30.12429428,2.10E-11
40840.9076,237966250,30.12429428,2.10E-11
40835.9076,237965825,30.5333252,2.10E-11
40828.83655,237965600,30.8482132,2.10E-11
40823.83655,237965475,30.97348022,2.10E-11
40818.83655,237965375,30.97620392,2.10E-11
40813.83655,237965200,31.03904915,2.10E-11
40808.83655,237965000,31.03904915,2.10E-11
40803.83655,237964800,31.03904915,2.10E-11
40798.83655,237964600,31.03904915,2.10E-11
40793.83655,237964450,31.03904915,2.10E-11
40786.76551,237964050,31.03904915,2.10E-11
40781.76551,237963875,31.03904915,2.10E-11
40776.76551,237963775,31.03904915,2.10E-11
40771.76551,237963650,31.04721451,2.10E-11
40766.76551,237935100,31.1939373,2.10E-11
40761.76551,237934625,31.45915604,2.10E-11
40756.76551,237934600,31.63998604,2.10E-11
40751.76551,237934425,32.097435,2.10E-11
40746.76551,237934350,32.40782547,2.10E-11
40741.76551,237934250,32.77439499,2.10E-11
40736.76551,237934175,32.86053848,2.10E-11
40731.76551,237933975,32.93658447,2.10E-11
40726.76551,237933850,32.93658447,2.10E-11
40721.76551,237933725,33.04080963,2.10E-11
40716.76551,237933600,33.09030914,2.10E-11
40711.76551,237933475,33.12577057,2.10E-11
40706.76551,237933325,33.12577057,2.10E-11
40699.69446,237933125,33.12577057,2.10E-11
40694.69446,237933000,33.12577057,2.10E-11
40689.69446,237932700,33.12577057,2.10E-11
40684.69446,237932575,33.12577057,2.10E-11
40677.62342,237932125,33.12577057,2.10E-11
40672.62342,237928725,33.12577057,2.10E-11
40667.62342,237928675,33.12577057,2.10E-11
40662.62342,237928400,33.12577057,2.10E-11
40655.55237,237927175,33.12577057,2.10E-11
40650.55237,237927000,33.12577057,2.10E-11
40645.55237,237926900,33.12577057,2.10E-11
40640.55237,237926575,33.12577057,2.10E-11
40635.55237,237926050,33.12577057,2.10E-11
40630.55237,237925775,33.12577057,2.10E-11
40625.55237,237925175,33.18387604,2.10E-11
40620.55237,237909400,33.27487183,2.10E-11
40613.48133,237909225,33.27487183,2.10E-11
40608.48133,237829350,33.27487183,2.10E-11
40603.48133,237826375,33.27487183,2.10E-11
40596.41028,237822050,33.40641785,2.10E-11
40591.41028,237820550,33.58493042,2.10E-11
40584.33924,237819675,33.63989258,2.10E-11
40579.33924,237819450,33.76757431,2.10E-11
40572.26819,237819025,33.76757431,2.10E-11
40567.26819,237818875,33.92657852,2.10E-11
40562.26819,237817825,34.12686539,2.10E-11
40555.19715,237812175,34.20875168,2.10E-11
40550.19715,237811950,34.25926208,2.10E-11
40543.1261,237811575,34.38274384,2.10E-11
40538.1261,237811475,34.39419556,2.10E-11
40531.05506,237811125,34.52177811,2.10E-11
40526.05506,237810275,34.61473083,2.10E-11
40518.98401,237809950,34.61473083,2.10E-11
40513.98401,237809100,34.77640533,2.10E-11
40506.91297,237594625,34.86688232,2.10E-11
40499.84192,237593750,34.89814377,2.10E-11
40494.84192,237593350,34.94977188,2.10E-11
40487.77088,237592125,35.07631683,2.10E-11
40482.77088,237591850,35.17170715,2.10E-11
40475.69983,237589875,35.29065704,2.10E-11
40468.62879,237588800,35.378479,2.10E-11
40461.55774,237588775,35.378479,2.10E-11
40454.4867,237586350,35.83755875,2.10E-11
40449.4867,237586200,36.14627838,2.10E-11
40442.41565,237568025,36.31437302,2.10E-11
40435.34461,237567525,36.50358963,2.10E-11
40428.27357,237567500,36.50358963,2.10E-11
40423.27357,237567275,36.50358963,2.10E-11
40418.27357,237554000,36.50358963,2.10E-11
40413.27357,237553700,36.50358963,2.10E-11
40408.27357,237553425,36.50358963,2.10E-11
40401.20252,237518275,36.50358963,2.10E-11
40396.20252,237505775,36.50358963,2.10E-11
40389.13148,237503925,36.55817413,2.10E-11
40384.13148,237503425,36.60112762,2.10E-11
40377.06043,237501050,36.64536285,2.10E-11
40369.98939,237499850,37.05501175,2.10E-11
40364.98939,237499400,37.60637283,2.10E-11
40357.91834,237498100,38.15286255,2.10E-11
40350.8473,237497825,38.77937698,2.10E-11
40343.77625,237496475,39.10855865,2.10E-11
40336.70521,237495875,39.37548065,2.10E-11
40329.63416,237344700,39.6615181,2.10E-11
40322.56312,237344050,40.42697906,2.10E-11
40315.49207,237343250,40.92554474,2.10E-11
40308.42103,237343150,41.2144165,2.10E-11
